txn_id,timestamp,amount_inr,payment_method,bank,device_type,customer_segment,failure_reason,retry_count_before,past_success_rate,network_latency_ms,hour_of_day,is_weekend,fraud_score
pay_100041,2026-06-20T01:09:00,76.02,card,Axis,ios,returning,risk_engine_block,1,0.677,311,1,True,0.628
pay_100042,2026-08-18T01:47:00,487.19,wallet,,android,returning,insufficient_funds,0,0.869,325,1,False,0.017
pay_100043,2026-07-07T07:45:00,853.87,upi,,web,returning,otp_expired,0,0.438,282,7,False,0.043
pay_100044,2026-08-12T23:58:00,267.6,upi,,ios,at_risk_churn,network_drop,0,0.445,2129,23,False,0.054
pay_100045,2026-06-12T00:14:00,2032.11,card,IDFC,android,high_value,wrong_cvv,3,0.438,355,0,False,0.158
pay_100046,2026-07-31T02:22:00,346.77,wallet,,ios,returning,risk_engine_block,0,0.835,587,2,False,0.579
pay_100047,2026-08-24T00:55:00,458.27,card,ICICI,ios,returning,card_expired,0,0.755,532,0,False,0.076
pay_100048,2026-08-17T20:51:00,1018.23,upi,,android,returning,risk_engine_block,0,0.559,196,20,False,0.596
pay_100049,2026-07-31T15:15:00,680.65,upi,,ios,high_value,network_drop,0,0.523,639,15,False,0.086
pay_100050,2026-08-24T18:31:00,9179.21,wallet,,ios,high_value,insufficient_funds,1,0.777,466,18,False,0.046
pay_100051,2026-06-06T13:20:00,143.48,upi,,android,new,risk_engine_block,1,0.175,235,13,True,0.7
pay_100052,2026-06-02T14:46:00,524.46,upi,,web,returning,network_drop,0,0.953,1165,14,False,0.034
pay_100053,2026-08-02T22:55:00,477.54,wallet,,ios,high_value,risk_engine_block,0,0.652,312,22,True,0.625
pay_100054,2026-06-04T09:02:00,269.26,card,IDFC,android,high_value,risk_engine_block,0,0.534,501,9,False,0.607
pay_100055,2026-08-14T15:09:00,330.46,upi,,web,returning,otp_expired,0,0.669,556,15,False,0.09
pay_100056,2026-08-01T12:06:00,591.87,upi,,web,at_risk_churn,otp_expired,0,0.828,130,12,True,0.091
pay_100057,2026-06-29T11:40:00,1307.51,wallet,,web,at_risk_churn,network_drop,0,0.466,640,11,False,0.063
pay_100058,2026-07-08T02:20:00,1165.68,card,IDFC,android,returning,card_expired,1,0.577,593,2,False,0.091
pay_100059,2026-06-15T10:29:00,2324.6,netbanking,IDFC,web,at_risk_churn,network_drop,3,0.324,1707,10,False,0.197
pay_100060,2026-08-26T11:47:00,400.55,netbanking,Yes Bank,ios,returning,bank_server_timeout,0,0.93,3804,11,False,0.07
pay_100061,2026-07-01T03:56:00,321.3,card,Yes Bank,android,at_risk_churn,insufficient_funds,0,0.662,238,3,False,0.089
pay_100062,2026-07-27T06:28:00,173.81,wallet,,ios,at_risk_churn,risk_engine_block,2,0.805,205,6,False,0.745
pay_100063,2026-07-02T10:08:00,802.17,card,ICICI,web,returning,wrong_cvv,1,0.584,318,10,False,0.033
pay_100064,2026-06-17T00:00:00,1252.49,card,Kotak,android,at_risk_churn,insufficient_funds,0,0.977,209,0,False,0.074
pay_100065,2026-06-29T16:39:00,684.06,card,Axis,ios,high_value,card_expired,0,0.785,111,16,False,0.01
pay_100066,2026-06-17T02:17:00,88.27,wallet,,web,returning,risk_engine_block,0,0.788,381,2,False,0.595
pay_100067,2026-06-28T17:27:00,4478.9,wallet,,ios,high_value,insufficient_funds,0,0.65,177,17,True,0.031
pay_100068,2026-08-11T18:35:00,2505.35,netbanking,Yes Bank,android,new,bank_server_timeout,0,0.054,3153,18,False,0.142
pay_100069,2026-08-01T21:14:00,801.73,netbanking,IDFC,web,returning,otp_expired,1,0.869,311,21,True,0.081
pay_100070,2026-08-29T08:48:00,968.73,card,Kotak,android,returning,wrong_cvv,0,0.716,111,8,True,0.01
pay_100071,2026-08-16T18:05:00,275.67,wallet,,android,returning,risk_engine_block,2,0.619,532,18,True,0.691
pay_100072,2026-08-25T16:19:00,1520.19,card,SBI,ios,new,card_expired,0,0.196,220,16,False,0.176
pay_100073,2026-06-30T22:32:00,247.79,card,HDFC,ios,high_value,insufficient_funds,0,0.801,526,22,False,0.01
pay_100074,2026-07-12T00:10:00,558.06,wallet,,web,high_value,risk_engine_block,1,0.705,485,0,True,0.637
pay_100075,2026-08-05T16:12:00,75.22,netbanking,SBI,android,high_value,bank_server_timeout,2,0.46,1047,16,False,0.11
pay_100076,2026-08-03T20:29:00,950.16,upi,,ios,high_value,network_drop,1,0.727,3619,20,False,0.097
pay_100077,2026-06-08T18:22:00,2246.96,upi,,android,returning,network_drop,0,0.906,394,18,False,0.064
pay_100078,2026-06-25T20:20:00,403.93,wallet,,android,returning,risk_engine_block,0,0.737,431,20,False,0.648
pay_100079,2026-07-20T09:26:00,921.27,upi,,web,high_value,otp_expired,1,0.702,417,9,False,0.01
pay_100080,2026-07-13T04:05:00,15592.97,wallet,,ios,high_value,insufficient_funds,0,0.638,166,4,False,0.231
pay_100081,2026-08-07T21:05:00,7160.86,netbanking,IDFC,ios,returning,network_drop,0,0.758,957,21,False,0.034
pay_100082,2026-06-17T19:38:00,178.53,upi,,android,new,otp_expired,0,0.028,249,19,False,0.172
pay_100083,2026-08-08T07:15:00,6020.8,wallet,,ios,high_value,insufficient_funds,0,0.433,552,7,True,0.077
pay_100084,2026-06-07T08:41:00,1286.68,wallet,,android,high_value,network_drop,0,0.555,590,8,True,0.029
pay_100085,2026-07-01T11:24:00,509.75,netbanking,IDFC,ios,returning,bank_server_timeout,3,0.596,643,11,False,0.104
pay_100086,2026-07-03T00:13:00,6715.33,upi,,android,returning,bank_server_timeout,1,0.715,1260,0,False,0.024
pay_100087,2026-08-16T15:34:00,851.74,card,Axis,android,returning,insufficient_funds,0,0.877,441,15,True,0.024
pay_100088,2026-08-10T16:01:00,4344.53,card,Yes Bank,web,returning,wrong_cvv,0,0.963,433,16,False,0.024
pay_100089,2026-07-14T17:52:00,477.85,card,ICICI,android,high_value,risk_engine_block,0,0.91,548,17,False,0.554
pay_100090,2026-07-31T17:16:00,366.66,upi,,ios,returning,risk_engine_block,0,0.678,456,17,False,0.594
pay_100091,2026-07-18T15:59:00,3922.31,wallet,,ios,returning,network_drop,1,0.68,3448,15,True,0.018
pay_100092,2026-07-25T22:10:00,331.62,netbanking,Yes Bank,web,returning,bank_server_timeout,0,0.897,1568,22,True,0.051
pay_100093,2026-06-17T01:04:00,1682.87,upi,,web,new,risk_engine_block,0,0.308,113,1,False,0.711
pay_100094,2026-07-17T16:25:00,2132.8,wallet,,web,returning,network_drop,0,0.937,2200,16,False,0.039
pay_100095,2026-07-28T02:11:00,652.67,card,Yes Bank,android,new,insufficient_funds,2,0.359,407,2,False,0.267
pay_100096,2026-06-29T16:07:00,2343.86,netbanking,IDFC,web,high_value,network_drop,3,0.798,2424,16,False,0.137
pay_100097,2026-08-13T13:04:00,1588.91,upi,,web,new,network_drop,0,0.282,2199,13,False,0.134
pay_100098,2026-08-06T03:09:00,692.98,upi,,web,new,bank_server_timeout,0,0.082,884,3,False,0.164
pay_100099,2026-08-15T05:37:00,755.22,netbanking,IDFC,android,returning,bank_server_timeout,0,0.709,2388,5,True,0.01
pay_100100,2026-07-24T18:39:00,1007.54,card,IDFC,web,returning,insufficient_funds,0,0.807,574,18,False,0.024
pay_100101,2026-07-30T15:13:00,151.12,wallet,,ios,new,insufficient_funds,0,0.058,188,15,False,0.132
pay_100102,2026-08-18T12:26:00,227.71,card,ICICI,ios,new,insufficient_funds,0,0.584,400,12,False,0.119
pay_100103,2026-08-14T06:22:00,905.43,wallet,,android,returning,risk_engine_block,0,0.41,372,6,False,0.604
pay_100104,2026-07-22T01:03:00,435.09,wallet,,web,new,insufficient_funds,0,0.062,596,1,False,0.145
pay_100105,2026-07-21T03:23:00,845.97,netbanking,Yes Bank,ios,returning,network_drop,1,0.662,265,3,False,0.01
pay_100106,2026-08-18T12:47:00,2196.27,wallet,,ios,new,risk_engine_block,1,0.229,581,12,False,0.721
pay_100107,2026-08-28T23:40:00,1446.86,wallet,,android,returning,network_drop,0,0.535,2445,23,False,0.023
pay_100108,2026-08-27T04:15:00,2758.86,wallet,,web,returning,insufficient_funds,0,0.645,500,4,False,0.05
pay_100109,2026-08-01T21:33:00,293.47,wallet,,web,high_value,network_drop,0,0.631,2868,21,True,0.064
pay_100110,2026-07-09T07:49:00,225.33,netbanking,IDFC,web,new,otp_expired,0,0.05,437,7,False,0.156
pay_100111,2026-07-15T12:49:00,1453.74,netbanking,Yes Bank,ios,returning,bank_server_timeout,1,0.522,1891,12,False,0.066
pay_100112,2026-07-01T18:15:00,112.05,upi,,web,returning,otp_expired,0,0.716,220,18,False,0.01
pay_100113,2026-07-07T06:20:00,2608.44,upi,,android,at_risk_churn,network_drop,0,0.409,3105,6,False,0.072
pay_100114,2026-06-05T09:00:00,62.9,upi,,ios,high_value,network_drop,0,0.81,2706,9,False,0.054
pay_100115,2026-07-29T05:41:00,346.1,upi,,web,returning,risk_engine_block,0,0.415,277,5,False,0.568
pay_100116,2026-07-02T10:00:00,332.9,wallet,,ios,returning,network_drop,0,0.539,334,10,False,0.067
pay_100117,2026-07-08T20:23:00,3443.21,netbanking,Yes Bank,web,returning,bank_server_timeout,0,0.815,2561,20,False,0.037
pay_100118,2026-08-16T21:55:00,8779.36,wallet,,web,high_value,network_drop,1,0.782,539,21,True,0.01
pay_100119,2026-08-27T03:13:00,338.25,upi,,android,new,network_drop,1,0.442,1781,3,False,0.146
pay_100120,2026-06-09T22:34:00,164.33,wallet,,ios,returning,risk_engine_block,3,0.527,510,22,False,0.687
pay_100121,2026-08-09T21:08:00,317.46,wallet,,android,at_risk_churn,network_drop,0,0.65,3061,21,True,0.098
pay_100122,2026-06-30T12:15:00,1363.69,card,Axis,web,returning,daily_limit_exceeded,0,0.316,112,12,False,0.081
pay_100123,2026-06-07T21:15:00,916.22,card,SBI,android,new,insufficient_funds,1,0.226,137,21,True,0.114
pay_100124,2026-08-24T04:33:00,1461.67,netbanking,Yes Bank,ios,high_value,otp_expired,0,0.691,432,4,False,0.094
pay_100125,2026-07-31T17:15:00,418.76,netbanking,Kotak,web,returning,otp_expired,1,0.454,502,17,False,0.097
pay_100126,2026-07-18T14:05:00,469.75,upi,,android,new,network_drop,0,0.684,2557,14,True,0.16
pay_100127,2026-07-13T06:19:00,1005.48,upi,,android,returning,bank_server_timeout,2,0.546,917,6,False,0.14
pay_100128,2026-07-17T08:32:00,734.44,netbanking,SBI,ios,returning,network_drop,2,0.579,1391,8,False,0.191
pay_100129,2026-07-24T23:18:00,847.13,wallet,,ios,high_value,insufficient_funds,0,0.438,425,23,False,0.026
pay_100130,2026-08-02T17:11:00,480.89,wallet,,ios,high_value,risk_engine_block,2,0.496,129,17,True,0.726
pay_100131,2026-08-21T19:42:00,676.72,upi,,ios,new,bank_server_timeout,2,0.434,148,19,False,0.253
pay_100132,2026-06-14T05:58:00,3620.33,netbanking,HDFC,ios,high_value,bank_server_timeout,0,0.568,1174,5,True,0.079
pay_100133,2026-08-23T02:54:00,1131.95,wallet,,android,new,risk_engine_block,0,0.013,567,2,True,0.656
pay_100134,2026-08-07T03:58:00,1001.16,upi,,android,high_value,otp_expired,0,0.582,402,3,False,0.01
pay_100135,2026-08-12T05:15:00,540.28,upi,,web,high_value,bank_server_timeout,0,0.802,3109,5,False,0.014
pay_100136,2026-07-14T02:38:00,148.98,card,Yes Bank,web,at_risk_churn,wrong_cvv,1,0.648,464,2,False,0.043
pay_100137,2026-07-05T02:09:00,4724.48,wallet,,ios,returning,insufficient_funds,0,0.833,173,2,True,0.01
pay_100138,2026-08-11T14:35:00,283.32,wallet,,android,new,insufficient_funds,0,0.093,412,14,False,0.186
pay_100139,2026-08-13T07:33:00,1742.89,netbanking,SBI,ios,high_value,bank_server_timeout,0,0.776,339,7,False,0.017
pay_100140,2026-08-03T20:38:00,357.12,netbanking,SBI,ios,new,otp_expired,0,0.198,469,20,False,0.18
pay_100141,2026-07-12T09:38:00,1343.05,netbanking,IDFC,android,high_value,bank_server_timeout,2,0.725,2091,9,True,0.197
pay_100142,2026-06-26T18:37:00,529.53,netbanking,Axis,ios,high_value,bank_server_timeout,3,0.923,3942,18,False,0.171
pay_100143,2026-07-09T20:15:00,472.28,card,Kotak,web,high_value,risk_engine_block,0,0.654,570,20,False,0.608
pay_100144,2026-08-16T17:40:00,52.63,wallet,,web,high_value,risk_engine_block,2,0.456,125,17,True,0.706
pay_100145,2026-07-04T03:14:00,1242.96,wallet,,web,returning,network_drop,0,0.683,1682,3,True,0.046
pay_100146,2026-06-15T02:53:00,185.35,upi,,ios,new,otp_expired,2,0.068,291,2,False,0.252
pay_100147,2026-06-15T01:01:00,604.14,wallet,,web,high_value,insufficient_funds,1,0.887,329,1,False,0.052
pay_100148,2026-06-24T20:11:00,466.82,upi,,web,returning,otp_expired,0,0.636,519,20,False,0.039
pay_100149,2026-06-15T14:16:00,276.87,upi,,ios,high_value,otp_expired,0,0.795,481,14,False,0.059
pay_100150,2026-08-18T09:37:00,4982.53,netbanking,Axis,ios,returning,network_drop,0,0.683,2920,9,False,0.014
pay_100151,2026-06-23T20:35:00,629.94,upi,,android,returning,network_drop,0,0.413,3625,20,False,0.036
pay_100152,2026-07-23T15:43:00,3904.22,wallet,,ios,high_value,insufficient_funds,0,0.895,305,15,False,0.029
pay_100153,2026-08-10T15:32:00,486.49,upi,,android,new,network_drop,0,0.023,1582,15,False,0.154
pay_100154,2026-07-28T01:16:00,1306.85,wallet,,web,at_risk_churn,risk_engine_block,0,0.89,439,1,False,0.636
pay_100155,2026-08-12T01:22:00,330.93,wallet,,ios,new,insufficient_funds,0,0.382,379,1,False,0.129
pay_100156,2026-08-23T08:08:00,557.05,card,Kotak,web,high_value,insufficient_funds,1,0.673,482,8,True,0.049
pay_100157,2026-07-06T23:44:00,1555.75,netbanking,Yes Bank,ios,returning,otp_expired,2,0.507,549,23,False,0.163
pay_100158,2026-07-14T09:35:00,655.42,card,Yes Bank,ios,returning,risk_engine_block,0,0.799,129,9,False,0.555
pay_100159,2026-07-09T20:10:00,1002.22,card,SBI,web,high_value,insufficient_funds,1,0.582,133,20,False,0.04
pay_100160,2026-06-17T02:37:00,251.84,upi,,ios,new,network_drop,0,0.754,3426,2,False,0.112
pay_100161,2026-06-18T09:24:00,203.57,upi,,web,new,network_drop,1,0.519,665,9,False,0.107
pay_100162,2026-06-20T23:58:00,465.52,card,Axis,ios,new,wrong_cvv,0,0.508,473,23,True,0.135
pay_100163,2026-08-17T23:18:00,202.14,upi,,ios,returning,otp_expired,1,0.691,273,23,False,0.075
pay_100164,2026-08-03T07:40:00,298.58,card,Yes Bank,android,high_value,risk_engine_block,0,0.885,510,7,False,0.587
pay_100165,2026-07-24T16:27:00,687.86,wallet,,android,high_value,network_drop,1,0.46,1349,16,False,0.01
pay_100166,2026-08-22T21:04:00,3076.38,upi,,ios,returning,network_drop,0,0.818,3867,21,True,0.043
pay_100167,2026-06-18T22:44:00,1114.03,card,ICICI,web,high_value,card_expired,0,0.705,345,22,False,0.017
pay_100168,2026-07-05T13:33:00,2068.99,netbanking,HDFC,ios,new,otp_expired,0,0.266,546,13,True,0.151
pay_100169,2026-06-15T23:14:00,114.59,upi,,android,new,network_drop,1,0.003,3849,23,False,0.115
pay_100170,2026-08-13T02:23:00,2108.93,wallet,,android,new,insufficient_funds,0,0.576,127,2,False,0.195
pay_100171,2026-06-02T14:23:00,449.89,wallet,,android,high_value,network_drop,0,0.671,2503,14,False,0.097
pay_100172,2026-07-13T00:00:00,1535.9,upi,,android,at_risk_churn,otp_expired,1,0.771,323,0,False,0.042
pay_100173,2026-07-29T11:47:00,753.43,upi,,android,new,bank_server_timeout,0,0.072,386,11,False,0.159
pay_100174,2026-08-29T12:53:00,47.61,wallet,,web,new,risk_engine_block,1,0.165,287,12,True,0.664
pay_100175,2026-07-16T17:49:00,597.09,card,SBI,web,new,insufficient_funds,0,0.162,241,17,False,0.181
pay_100176,2026-07-21T11:32:00,66.85,card,Kotak,android,high_value,insufficient_funds,0,0.822,543,11,False,0.056
pay_100177,2026-06-11T20:37:00,346.5,card,Axis,android,high_value,card_expired,0,0.92,419,20,False,0.012
pay_100178,2026-08-27T12:27:00,1541.52,upi,,web,returning,risk_engine_block,0,0.737,115,12,False,0.611
pay_100179,2026-07-06T02:24:00,2661.17,upi,,android,returning,network_drop,0,0.597,3365,2,False,0.054
pay_100180,2026-08-04T18:20:00,782.91,wallet,,ios,returning,network_drop,0,0.758,3268,18,False,0.028
pay_100181,2026-06-08T23:48:00,995.83,netbanking,ICICI,android,at_risk_churn,network_drop,3,0.426,3517,23,False,0.199
pay_100182,2026-06-25T18:53:00,4607.14,upi,,web,high_value,network_drop,3,0.886,449,18,False,0.106
pay_100183,2026-07-14T04:45:00,292.1,upi,,web,returning,otp_expired,0,0.952,225,4,False,0.077
pay_100184,2026-07-14T03:19:00,2643.29,netbanking,Yes Bank,web,returning,network_drop,0,0.703,2976,3,False,0.097
pay_100185,2026-07-08T22:08:00,274.84,netbanking,HDFC,android,returning,bank_server_timeout,0,0.204,3237,22,False,0.097
pay_100186,2026-06-19T15:21:00,197.88,netbanking,Yes Bank,web,at_risk_churn,network_drop,1,0.81,443,15,False,0.082
pay_100187,2026-06-14T08:46:00,400.61,netbanking,Axis,ios,new,bank_server_timeout,0,0.094,3703,8,True,0.141
pay_100188,2026-06-29T21:10:00,4761.37,wallet,,web,returning,insufficient_funds,0,0.839,175,21,False,0.034
pay_100189,2026-06-21T13:03:00,1391.74,wallet,,web,returning,network_drop,0,0.496,3069,13,True,0.054
pay_100190,2026-06-20T15:03:00,424.63,netbanking,HDFC,android,new,bank_server_timeout,0,0.216,2538,15,True,0.148
pay_100191,2026-08-24T15:16:00,364.96,upi,,android,new,otp_expired,0,0.337,458,15,False,0.119
pay_100192,2026-08-29T04:42:00,2863.38,netbanking,Kotak,android,new,bank_server_timeout,0,0.162,3178,4,True,0.159
pay_100193,2026-08-13T15:56:00,1100.48,wallet,,web,returning,network_drop,0,0.615,2420,15,False,0.068
pay_100194,2026-07-26T21:12:00,195.71,upi,,web,high_value,otp_expired,3,0.846,148,21,True,0.109
pay_100195,2026-08-29T00:39:00,1041.59,wallet,,web,high_value,risk_engine_block,0,0.536,182,0,True,0.642
pay_100196,2026-08-17T18:30:00,183.22,card,SBI,web,high_value,risk_engine_block,0,0.584,119,18,False,0.59
pay_100197,2026-07-09T10:19:00,331.67,upi,,web,returning,otp_expired,0,0.899,217,10,False,0.03
pay_100198,2026-06-25T02:28:00,1984.28,wallet,,android,returning,network_drop,0,0.683,3442,2,False,0.01
pay_100199,2026-06-07T14:58:00,1551.99,card,ICICI,ios,returning,card_expired,0,0.631,206,14,True,0.068
pay_100200,2026-07-15T11:10:00,3613.06,wallet,,web,new,risk_engine_block,1,0.043,299,11,False,0.736
pay_100201,2026-06-02T21:30:00,558.77,upi,,web,new,bank_server_timeout,2,0.361,1331,21,False,0.271
pay_100202,2026-07-09T14:43:00,454.1,netbanking,Kotak,web,returning,bank_server_timeout,0,0.98,3534,14,False,0.084
pay_100203,2026-08-23T08:45:00,4516.56,netbanking,IDFC,web,new,bank_server_timeout,2,0.403,1064,8,True,0.29
pay_100204,2026-07-04T09:58:00,2234.52,wallet,,web,returning,risk_engine_block,0,0.563,274,9,True,0.584
pay_100205,2026-08-04T11:19:00,307.43,upi,,web,returning,bank_server_timeout,1,0.912,604,11,False,0.074
pay_100206,2026-07-10T07:26:00,967.5,upi,,web,high_value,risk_engine_block,1,0.766,561,7,False,0.555
pay_100207,2026-07-09T16:26:00,70.32,card,Axis,android,new,card_expired,0,0.593,499,16,False,0.199
pay_100208,2026-07-11T05:40:00,203.3,netbanking,Axis,android,new,network_drop,0,0.266,2440,5,True,0.176
pay_100209,2026-07-18T06:00:00,529.1,upi,,android,returning,network_drop,2,0.67,3672,6,True,0.134
pay_100210,2026-08-06T23:38:00,388.78,card,ICICI,android,returning,card_expired,0,0.871,581,23,False,0.036
pay_100211,2026-07-17T03:45:00,107.64,wallet,,web,new,insufficient_funds,0,0.012,129,3,False,0.166
pay_100212,2026-07-31T08:44:00,589.99,card,SBI,web,new,insufficient_funds,0,0.238,183,8,False,0.166
pay_100213,2026-06-15T09:50:00,704.29,upi,,ios,high_value,network_drop,0,0.74,906,9,False,0.036
pay_100214,2026-08-25T00:05:00,634.18,netbanking,Yes Bank,android,returning,bank_server_timeout,2,0.921,2175,0,False,0.108
pay_100215,2026-06-15T13:06:00,294.1,netbanking,HDFC,ios,returning,otp_expired,1,0.672,354,13,False,0.088
pay_100216,2026-08-28T12:54:00,2204.15,netbanking,IDFC,android,returning,bank_server_timeout,0,0.851,3055,12,False,0.01
pay_100217,2026-08-18T05:24:00,3918.98,card,Axis,android,returning,card_expired,1,0.479,213,5,False,0.048
pay_100218,2026-08-13T23:46:00,2871.96,wallet,,web,new,risk_engine_block,0,0.481,177,23,False,0.693
pay_100219,2026-08-18T17:03:00,909.99,upi,,ios,returning,network_drop,0,0.859,1393,17,False,0.024
pay_100220,2026-07-29T02:28:00,190.15,card,HDFC,android,returning,wrong_cvv,1,0.725,589,2,False,0.075
pay_100221,2026-08-05T09:35:00,1114.55,wallet,,ios,returning,risk_engine_block,0,0.814,308,9,False,0.634
pay_100222,2026-06-29T21:00:00,602.3,wallet,,android,returning,network_drop,0,0.876,2955,21,False,0.011
pay_100223,2026-06-26T19:12:00,1062.28,wallet,,ios,high_value,insufficient_funds,0,0.92,206,19,False,0.077
pay_100224,2026-06-07T16:35:00,168.05,wallet,,android,at_risk_churn,risk_engine_block,2,0.81,261,16,True,0.719
pay_100225,2026-07-24T12:38:00,893.74,upi,,web,returning,otp_expired,2,0.804,502,12,False,0.16
pay_100226,2026-08-20T17:13:00,175.16,netbanking,ICICI,web,returning,network_drop,0,0.811,2989,17,False,0.065
pay_100227,2026-07-24T21:43:00,881.58,netbanking,ICICI,android,high_value,otp_expired,1,0.618,189,21,False,0.01
pay_100228,2026-06-19T08:53:00,271.26,card,IDFC,web,high_value,insufficient_funds,0,0.778,543,8,False,0.01
pay_100229,2026-07-07T22:44:00,66.97,upi,,android,returning,bank_server_timeout,0,0.917,133,22,False,0.074
pay_100230,2026-08-09T18:47:00,1989.97,wallet,,android,at_risk_churn,network_drop,0,0.862,2876,18,True,0.01
pay_100231,2026-07-03T18:00:00,752.03,card,Yes Bank,web,returning,card_expired,0,0.9,132,18,False,0.077
pay_100232,2026-08-07T10:14:00,192.48,netbanking,ICICI,android,returning,otp_expired,2,0.87,493,10,False,0.109
pay_100233,2026-06-02T20:07:00,596.95,netbanking,Axis,android,new,bank_server_timeout,0,0.136,2875,20,False,0.189
pay_100234,2026-08-05T11:51:00,103.91,wallet,,android,high_value,insufficient_funds,0,0.631,164,11,False,0.095
